行政區,基期單價中位數
大安區,835085.15435
中正區,760083.9864
松山區,680465.4824
中山區,667126.0473
信義區,665085.57745
南港區,560175.1205
大同區,555851.7556
士林區,551694.6743000001
內湖區,541330.1208500001
萬華區,526743.8509
文山區,478577.3312
北投區,458282.5496
永和區,448350.4082198501
三重區,394347.04347481485
中和區,385289.6414879886
板橋區,385087.6724290223
新店區,366052.30887493823
蘆洲區,360912.3979030679
新莊區,344884.59064557747
土城區,324072.23076262744
汐止區,291707.5480572445
林口區,283142.45459296816
泰山區,281846.2460891919
五股區,270056.5391626468
樹林區,266264.2293273627
深坑區,262306.54180833744
三峽區,233076.2125490181
淡水區,217569.79198902554
八里區,191020.71487935132
鶯歌區,184939.74227670388
石碇區,133644.12027336145
金山區,121941.1456960676
烏來區,118402.04598735466
三芝區,97367.24360671868
瑞芳區,94393.11791101153
萬里區,81984.50486080686
雙溪區,69737.31490061841
石門區,66362.87798424631
貢寮區,64105.53602816981
