行政區,年份,單價中位數,交易筆數,來源,蛋黃區
中山區,2015.0,704896.0278,815,台北市,True
中山區,2016.0,658498.8551,1802,台北市,True
中山區,2017.0,655306.6805,2286,台北市,True
中山區,2018.0,621251.24725,2346,台北市,True
中山區,2019.0,630418.3073499999,2822,台北市,True
中山區,2020.0,672485.8245,3439,台北市,True
中山區,2021.0,684078.11295,3078,台北市,True
中山區,2022.0,702724.4297,2501,台北市,True
中山區,2023.0,723366.5479,2457,台北市,True
中山區,2024.0,789743.4599,2509,台北市,True
中山區,2025.0,801808.50965,1208,台北市,True
中正區,2015.0,731955.50205,322,台北市,True
中正區,2016.0,742823.39205,796,台北市,True
中正區,2017.0,784756.1125,963,台北市,True
中正區,2018.0,723858.1138,927,台北市,True
中正區,2019.0,757588.03215,1290,台北市,True
中正區,2020.0,718487.9163,1477,台北市,True
中正區,2021.0,765249.8735,1163,台北市,True
中正區,2022.0,817469.8526999999,756,台北市,True
中正區,2023.0,838905.2702,903,台北市,True
中正區,2024.0,872622.558,967,台北市,True
中正區,2025.0,906175.20525,480,台北市,True
信義區,2015.0,699832.7112,311,台北市,True
信義區,2016.0,667886.74995,938,台北市,True
信義區,2017.0,651723.1552,1045,台北市,True
信義區,2018.0,644587.38785,1082,台北市,True
信義區,2019.0,668848.19775,1350,台北市,True
信義區,2020.0,699525.8686,1653,台北市,True
信義區,2021.0,728935.0197000001,1584,台北市,True
信義區,2022.0,787660.24265,1258,台北市,True
信義區,2023.0,793223.6041,1294,台北市,True
信義區,2024.0,811340.7105,1336,台北市,True
信義區,2025.0,829852.3916,645,台北市,True
內湖區,2015.0,590632.3318,681,台北市,True
內湖區,2016.0,535732.5749,1711,台北市,True
內湖區,2017.0,532455.06425,1842,台北市,True
內湖區,2018.0,496984.85915000003,2162,台北市,True
內湖區,2019.0,509155.75945,2794,台北市,True
內湖區,2020.0,542742.6491,3036,台北市,True
內湖區,2021.0,561023.0481,2468,台北市,True
內湖區,2022.0,596066.5568,1779,台北市,True
內湖區,2023.0,607900.1995,1835,台北市,True
內湖區,2024.0,649245.2983,1774,台北市,True
內湖區,2025.0,660957.6409,999,台北市,True
北投區,2015.0,493678.09695000004,808,台北市,False
北投區,2016.0,469278.0995,1470,台北市,False
北投區,2017.0,425747.4185,1887,台北市,False
北投區,2018.0,448592.4314,1785,台北市,False
北投區,2019.0,482638.3533,2181,台北市,False
北投區,2020.0,469582.2755,2043,台北市,False
北投區,2021.0,485348.377,1744,台北市,False
