年份,蛋黃區,單價中位數,交易筆數,類型
2015.0,False,287672.88113567245,13693,蛋白區
2015.0,True,693588.7196,3804,蛋黃區
2016.0,False,268735.53433999757,36958,蛋白區
2016.0,True,658498.8551,9511,蛋黃區
2017.0,False,261609.67018126507,44235,蛋白區
2017.0,True,651723.1552,10894,蛋黃區
2018.0,False,246652.81402836135,48249,蛋白區
2018.0,True,621251.24725,12128,蛋黃區
2019.0,False,250529.26566447137,56548,蛋白區
2019.0,True,630418.3073499999,14541,蛋黃區
2020.0,False,267131.09267477144,65945,蛋白區
2020.0,True,672485.8245,17255,蛋黃區
2021.0,False,290492.9590267065,61843,蛋白區
2021.0,True,684078.11295,15624,蛋黃區
2022.0,False,314174.2971849024,44253,蛋白區
2022.0,True,702724.4297,11722,蛋黃區
2023.0,False,328661.03293081175,45017,蛋白區
2023.0,True,723366.5479,12264,蛋黃區
2024.0,False,364635.67664107616,41515,蛋白區
2024.0,True,789743.4599,12377,蛋黃區
2025.0,False,359579.6410931393,19030,蛋白區
2025.0,True,801808.50965,6406,蛋黃區
