西元年,蛋黃區,單價中位數,筆數,類型
1992.0,True,154542.9995,1,蛋黃區
2005.0,True,342640.9588,1,蛋黃區
2007.0,False,316471.49883898033,13,蛋白區
2008.0,False,306975.5067653991,17,蛋白區
2009.0,False,307903.741667127,4,蛋白區
2009.0,True,441123.2241,26,蛋黃區
2010.0,False,583758.6363,21,蛋白區
2010.0,True,666433.3144,51,蛋黃區
2011.0,False,420671.90731507057,44,蛋白區
2011.0,True,856118.2939500001,58,蛋黃區
2012.0,False,180755.6553158,2609,蛋白區
2012.0,True,847116.7954,322,蛋黃區
2013.0,False,314901.5230595151,5397,蛋白區
2013.0,True,849946.2729,451,蛋黃區
2014.0,False,340875.52769733046,5213,蛋白區
2014.0,True,811497.0061,570,蛋黃區
2015.0,False,349668.5236900425,13693,蛋白區
2015.0,True,678814.50115,3804,蛋黃區
2016.0,False,332520.3459692716,36958,蛋白區
2016.0,True,645741.2341,9511,蛋黃區
2017.0,False,320786.8411630167,44235,蛋白區
2017.0,True,641026.2035000001,10894,蛋黃區
2018.0,False,311943.2914221698,48249,蛋白區
2018.0,True,614496.23385,12128,蛋黃區
2019.0,False,322332.98254010524,56548,蛋白區
2019.0,True,626331.9299,14541,蛋黃區
2020.0,False,327176.7409838161,65945,蛋白區
2020.0,True,657202.258,17255,蛋黃區
2021.0,False,346312.3474209949,61841,蛋白區
2021.0,True,686029.6986,15624,蛋黃區
2022.0,False,378157.6160943882,44253,蛋白區
2022.0,True,722185.86655,11722,蛋黃區
2023.0,False,400133.9629788336,45017,蛋白區
2023.0,True,741721.37115,12264,蛋黃區
2024.0,False,438204.9160858063,41515,蛋白區
2024.0,True,795356.6915,12377,蛋黃區
2025.0,False,445945.4578444033,19030,蛋白區
2025.0,True,809383.2989,6406,蛋黃區
